FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude,Class,Year
30,2017-01-14,,,,,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,,1,2017
31,2017-02-19,,,,,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,,1,2017
32,2017-03-16,,,,,None None,1,False,False,False,,,,,,,0,2017
33,2017-03-30,,,,,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2017
34,2017-05-01,,,,,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,,1,2017
35,2017-05-15,,,,,None None,1,False,False,False,,,,,,,0,2017
36,2017-06-03,,,,,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,,1,2017
37,2017-06-23,,,,,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2017
38,2017-06-25,,,,,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,,1,2017
39,2017-07-05,,,,,None None,1,False,False,False,,,,,,,0,2017
40,2017-08-14,,,,,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,,1,2017
41,2017-08-24,,,,,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,,1,2017
42,2017-09-07,,,,,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,,1,2017
43,2017-10-09,,,,,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,,1,2017
44,2017-10-11,,,,,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2017
45,2017-10-30,,,,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2017
46,2017-12-15,,,,,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,,,,,,1,2017
47,2017-12-23,,,,,True Ocean,2,True,True,False,,,,,,,1,2017
48,2018-01-08,,,,,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,,1,2018
49,2018-01-31,,,,,True Ocean,2,True,True,True,,,,,,,1,2018
50,2018-03-06,,,,,None None,1,True,False,True,,,,,,,0,2018
51,2018-03-30,,,,,None None,2,True,True,True,,,,,,,0,2018
52,2018-04-02,,,,,None None,2,True,True,True,,,,,,,0,2018
53,2018-04-18,,,,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2018
54,2018-05-11,,,,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2018
55,2018-06-04,,,,,None None,2,False,True,False,,,,,,,0,2018
56,2018-06-29,,,,,None None,2,False,True,False,,,,,,,0,2018
57,2018-07-22,,,,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2018
58,2018-07-25,,,,,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,,1,2018
59,2018-08-07,,,,,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2018
60,2018-09-10,,,,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2018
61,2018-10-08,,,,,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,,,,,,1,2018
62,2018-11-15,,,,,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2018
63,2018-12-03,,,,,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,,1,2018
64,2018-12-05,,,,,False RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,,,0,2018
65,2018-12-23,,,,,None None,1,False,False,False,,,,,,,0,2018
66,2019-01-11,,,,,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,,1,2019
67,2019-03-02,,,,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2019
68,2019-05-04,,,,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2019
69,2019-05-24,,,,,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2019
70,2019-06-12,,,,,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,,,,,,1,2019
71,2019-07-25,,,,,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,,,,,,1,2019
72,2019-08-06,,,,,None None,3,False,True,False,,,,,,,0,2019
73,2019-11-11,,,,,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2019
74,2019-12-05,,,,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2019
75,2019-12-17,,,,,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2019
76,2020-01-07,,,,,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2020
77,2020-01-19,,,,,None None,4,False,True,False,,,,,,,0,2020
78,2020-01-29,,,,,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2020
79,2020-02-17,,,,,False ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,0,2020
80,2020-03-07,,,,,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,,,,,,1,2020
81,2020-03-18,,,,,False ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,0,2020
82,2020-04-22,,,,,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2020
83,2020-05-30,,,,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2020
84,2020-06-04,,,,,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,,1,2020
85,2020-06-13,,,,,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2020
86,2020-06-30,,,,,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,,,1,2020
87,2020-07-20,,,,,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,,1,2020
88,2020-08-18,,,,,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2020
89,2020-08-30,,,,,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,,,,,,1,2020
90,2020-09-03,,,,,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2020
91,2020-10-06,,,,,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2020
92,2020-10-18,,,,,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2020
93,2020-10-24,,,,,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,,,,,,1,2020
94,2020-11-05,,,,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,,,1,2020
